trial,baseline_prob,large_sample_performance,n_reps_total,n_reps_per,signal_parameters,noise_parameters,minimum_threshold,min_sample_size,max_sample_size,tune_param,n_min,sim_time
22,0.1,0.8,500,50,100,10,0.05,100,3000,0.1325,1702,315.4
23,0.1,0.8,500,50,100,10,0.05,100,3000,0.1325,1708,316.1
24,0.1,0.8,500,50,100,10,0.05,100,3000,0.1325,1616,308.7
25,0.1,0.8,500,50,100,10,0.05,100,3000,0.1325,1653,315.4
26,0.1,0.8,500,50,100,10,0.05,100,3000,0.1325,2167,312.7
27,0.1,0.8,500,50,100,10,0.05,100,3000,0.1325,1646,317.4
28,0.1,0.8,500,50,100,10,0.05,100,3000,0.1325,1658,311.1
29,0.1,0.8,500,50,100,10,0.05,100,3000,0.1325,1603,309.7
30,0.1,0.8,500,50,100,10,0.05,100,3000,0.1325,1641,307.7
31,0.1,0.8,500,50,100,10,0.05,100,3000,0.1325,1684,316.8
32,0.1,0.8,500,50,100,10,0.05,100,3000,0.1325,1656,309.5
33,0.1,0.8,500,50,100,10,0.05,100,3000,0.1325,1648,311.3
34,0.1,0.8,500,50,100,10,0.05,100,3000,0.1325,1742,322
35,0.1,0.8,500,50,100,10,0.05,100,3000,0.1325,1662,324.9
36,0.1,0.8,500,50,100,10,0.05,100,3000,0.1325,1694,316
37,0.1,0.8,500,50,100,10,0.05,100,3000,0.1325,1752,315.9
38,0.1,0.8,500,50,100,10,0.05,100,3000,0.1325,1658,309
39,0.1,0.8,500,50,100,10,0.05,100,3000,0.1325,1637,308.9
40,0.1,0.8,500,50,100,10,0.05,100,3000,0.1325,1600,306.9
41,0.1,0.8,500,50,100,10,0.05,100,3000,0.1325,1621,312.6
42,0.1,0.8,500,50,100,10,0.05,100,3000,0.1325,1683,315.5
43,0.1,0.8,500,50,100,10,0.05,100,3000,0.1325,1741,320.6
44,0.1,0.8,500,50,100,10,0.05,100,3000,0.1325,1716,312.9
45,0.1,0.8,500,50,100,10,0.05,100,3000,0.1325,1634,311.1
46,0.1,0.8,500,50,100,10,0.05,100,3000,0.1325,1630,310.1
47,0.1,0.8,500,50,100,10,0.05,100,3000,0.1325,1697,309.1
48,0.1,0.8,500,50,100,10,0.05,100,3000,0.1325,1661,310.3
49,0.1,0.8,500,50,100,10,0.05,100,3000,0.1325,1682,313.8
50,0.1,0.8,500,50,100,10,0.05,100,3000,0.1325,1699,281.1
